Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD_15,GD_15,XPD_15
Orianna Orianna,34,41,0.95,20,14,0.59,4.8,4.8,31:30:00,8.7,523,398,4.9,148,150
Xayah Xayah,27,42,0.87,18,9,0.67,6.5,3.8,30:24:00,10.3,596,459,1.7,145,89
Jarvan IV Jarvan IV,30,37,0.85,17,13,0.57,4.9,4.5,31:50:00,5.9,285,362,-1.7,-63,-132
Rumble Rumble,20,46,0.84,14,6,0.7,4,4,30:15:00,7.8,650,392,5.8,302,139
Kalista Kalista,14,50,0.81,8,6,0.57,4.4,4.2,31:06:00,9.1,473,425,9.9,232,264
Neeko Neeko,17,45,0.78,13,4,0.76,4.6,4.1,31:56:00,8.1,504,389,-2.4,-13,6
Maokai Maokai,22,39,0.77,9,13,0.41,2.9,3.1,34:00:00,4.7,418,306,-9.6,-331,-405
Azir Azir,27,34,0.77,12,15,0.44,3.3,4.7,30:20:00,9.3,596,420,4.7,260,371
Rakan Rakan,30,27,0.72,17,13,0.57,4.3,5,30:18:00,1.4,134,244,4.9,-49,-30
Rell Rell,35,15,0.63,19,16,0.54,3.4,8.5,31:51:00,2.8,157,268,0.4,-277,-157
Jax Jax,24,25,0.62,12,12,0.5,1.9,5.5,31:13:00,8.5,506,401,-8.5,-315,-267
Renata Glasc Renata Glasc,17,31,0.61,14,3,0.82,7.5,5.9,30:37:00,0.9,173,260,-2.6,213,114
Kaisa Kaisa,33,12,0.57,12,21,0.36,3.3,7.1,31:09:00,9.8,493,435,-0.2,-262,-78
KSante KSante,29,15,0.56,12,17,0.41,2.5,8.5,31:39:00,7.6,406,366,-6.1,-147,-188
Poppy Poppy,7,35,0.53,3,4,0.43,2.3,4.9,29:42:00,5.6,269,330,-8.1,110,18
Alistar Alistar,22,19,0.52,6,16,0.27,1.9,6.9,31:09:00,1,120,224,3.5,-212,-16
Vi Vi,24,17,0.52,8,16,0.33,3.1,6.6,29:45:00,6,293,355,1,126,206
Renekton Renekton,23,12,0.44,9,14,0.39,2.1,7.4,31:43:00,8.4,432,383,7.8,248,160
Nautilus Nautilus,12,21,0.42,7,5,0.58,2.1,8,33:20:00,1.2,127,231,0.8,-3,-20
Aphelios Aphelios,22,10,0.41,11,11,0.5,5.5,8.1,30:35:00,9.8,612,453,-3.3,196,-87
Aatrox Aatrox,26,3,0.37,14,12,0.54,2.3,7.3,30:47:00,8.3,508,392,-0.7,-31,300
Sejuani Sejuani,17,12,0.37,9,8,0.53,3.9,7.6,30:40:00,5.2,276,323,-1.2,184,-18
Lee Sin Lee Sin,14,14,0.35,8,6,0.57,3.9,6.4,29:29:00,6.3,323,359,6.3,61,72
Caitlyn Caitlyn,8,18,0.33,3,5,0.38,3.8,4.9,32:09:00,8.8,605,431,5.8,373,296
Sylas Sylas,12,13,0.32,9,3,0.75,5.4,5.5,30:20:00,8.5,511,433,-10.4,-51,-242
Jayce Jayce,16,8,0.3,5,11,0.31,2.2,5.8,33:47:00,9,687,415,1.5,-240,-223
Taliyah Taliyah,13,10,0.29,5,8,0.38,2.7,5.5,32:07:00,8,579,392,-2.8,-326,-98
Syndra Syndra,14,7,0.27,3,11,0.21,1.6,5.1,30:48:00,8.3,577,388,1.3,-132,-448
Akali Akali,11,8,0.24,5,6,0.45,3.5,8.3,29:39:00,8.4,441,383,1.8,-162,204
Ashe Ashe,10,7,0.22,5,5,0.5,3.3,6.3,32:35:00,5.1,479,334,-6.8,-167,-240
Zeri Zeri,11,6,0.22,5,6,0.45,4.6,7.7,31:16:00,10.4,504,456,1.5,-111,-243
Ahri Ahri,10,4,0.18,5,5,0.5,4.1,8.3,30:11:00,8.5,522,398,1.8,91,5
Viego Viego,6,8,0.18,3,3,0.5,2.9,7.8,35:32:00,6.1,240,339,10,115,452
Wukong Wukong,6,7,0.16,4,2,0.67,4.3,7,28:00:00,6.1,381,380,1.7,224,88
Gnar Gnar,7,6,0.16,5,2,0.71,3.6,8.8,31:59:00,9,599,432,2,397,398
Draven Draven,3,9,0.15,2,1,0.67,6.3,3.2,32:27:00,8.9,438,474,-2,581,-307
