Player,team,Position,Country,Games,Win_rate,KDA,Avg_kills,Avg_deaths,Avg_assists,CSM,GPM,KP(%),DMG(%),DPM,VSPM,Avg_WPM,Avg_WCPM,Avg_VWPM,GD_15,CSD_15,XPD_15,FB(%),FB_Victim,Penta_Kills,Solo_Kills
369,JD Gaming,Top, CN,13,0.615,2.9,2.2,2.6,5.5,8,375,0.671,23.9,487,0.9,0.32,0.17,0.12,-313,-5,-177,0.154,0.231,0,2
APA,Team Liquid,Mid, US,5,0.2,1,2.8,4.6,1.8,8.1,378,0.586,27.7,471,1.12,0.5,0.23,0.19,-556,-6,-47,0,0.2,0,2
Adam,Team BDS,Top, FR,4,0,0.9,1.8,3.3,1.3,7.8,373,0.531,21.3,278,0.81,0.37,0.1,0.1,-258,-12,-877,0.25,0.25,0,0
Aiming,KT Rolster,Bottom, KR,12,0.5,6.7,5.7,1.5,4.4,10.7,485,0.792,30.6,620,1.35,0.38,0.47,0.1,350,0,150,0.333,0,0,2
Bdd,KT Rolster,Mid, KR,12,0.5,3.6,2.8,2.3,5.4,8.8,392,0.696,25.4,510,1.21,0.5,0.2,0.22,190,3,12,0.167,0,0,1
Berserker,Cloud9,Bottom, KR,6,0.333,3.5,3.2,1.7,2.7,10,430,0.434,22.4,443,1.12,0.45,0.23,0.16,-141,-1,-297,0,0,0,0
Bin,Bilibili Gaming,Top, CN,18,0.5,2.6,3.1,2.6,3.5,8,385,0.459,21.1,455,0.93,0.4,0.12,0.18,-197,-1,-270,0.167,0.056,0,6
Blaber,Cloud9,Jungle, US,6,0.333,3.6,2.5,2.7,7,6.3,375,0.69,20.6,382,1.5,0.36,0.39,0.26,302,6,477,0.167,0,0,1
Brokenblade,G2 Esports,Top, DE,9,0.333,2,1.6,3.2,5,7.7,358,0.603,20.3,464,1.05,0.5,0.17,0.16,-519,-15,-433,0,0.222,0,1
Canna,Dplus KIA,Top, KR,8,0.5,3.1,2.1,2.4,5.1,8.5,386,0.619,23.7,554,1.07,0.45,0.17,0.19,178,5,321,0.125,0.125,0,2
Canyon,Dplus KIA,Jungle, KR,8,0.5,4.7,2.3,1.8,6,6.5,359,0.687,11.7,252,1.71,0.51,0.43,0.36,341,16,470,0.25,0,0,1
Caps,G2 Esports,Mid, DK,9,0.333,1.8,2.3,4,4.9,8.9,397,0.705,25,544,1.09,0.25,0.31,0.08,54,5,-118,0.333,0.111,0,2
Carzzy,MAD Lions,Bottom, CZ,5,0.2,2.7,4.2,2.8,3.4,9.4,425,0.49,30.9,626,1.57,0.49,0.49,0.17,-578,-3,-86,0,0.4,0,2
Chasy,MAD Lions,Top, KR,5,0.2,2.3,3,3.2,4.4,7.4,380,0.559,22,443,0.9,0.38,0.14,0.17,123,-10,-359,0.2,0,0,1
Chovy,Gen.G eSports,Mid, KR,9,0.667,5.5,3.7,1.7,5.4,9.3,426,0.611,26.3,560,1.3,0.39,0.36,0.17,106,5,270,0.111,0.111,0,3
Contractz,NRG,Jungle, US,8,0.5,4,3.1,2.4,6.4,5.6,344,0.669,17.2,364,1.5,0.35,0.37,0.29,74,3,118,0.25,0,0,1
CoreJJ,Team Liquid,Support, KR,5,0.2,1.2,0.6,3.6,3.6,1.3,228,0.511,6.7,112,3.65,1.73,0.58,0.46,-50,9,-304,0.2,0.2,0,0
Crisp,Weibo Gaming,Support, CN,19,0.579,3.8,0.8,2.5,8.8,1.2,253,0.719,8.5,197,3.38,1.76,0.41,0.5,10,-5,-142,0.263,0.158,0,0
Crownie,Team BDS,Bottom, SI,4,0,1.8,1.3,2,2.3,9.9,399,0.583,23.6,313,1.67,0.67,0.52,0.08,-882,-1,-28,0,0,0,0
Cuzz,KT Rolster,Jungle, KR,12,0.5,3.5,1.6,2.3,6.6,5.3,323,0.654,12.9,260,1.84,0.41,0.47,0.42,233,-1,138,0.417,0.083,0,0
