Name,Season,Region,Games,Win_rate,K&D,GPM,GDM,Game_duration,Kills&game,Deaths&game,Towers_killed,Towers_lost,FB(%),FT(%),DRAPG,DRA(%),HERPG,HER(%),DRA_15,TD_15,GD_15,PPG,NASHPG,NASH(%),CSM,DPM,WPM,VWPM,WCPM
Bilibili Gaming,S13,CN,18,0.5,1.11,1811,29,1.388194444,12.8,11.6,6.2,5.9,66.7,61.1,2.56,52.8,0.89,44.4,1.11,0.2,288,4.44,0.94,57.4,32.5,2182,3.8,1.39,1.67
Cloud9,S13,USA,6,0.333,0.83,1809,-153,1.291666667,11.7,14,5.3,7.3,33.3,66.7,1.17,26.7,1.33,66.7,0.33,0.3,388,4.67,0.83,36.1,33.7,1927,3.3,1.14,1.45
Dplus KIA,S13,KR,8,0.5,1.19,1849,82,1.319444444,11.6,9.8,6.5,5.6,50,37.5,2.88,69.4,1.25,62.5,1.5,0,1096,4.25,1,66.7,34.5,2229,3.8,1.46,1.71
Fnatic,S13,EU,9,0.444,0.83,1843,-49,1.247222222,12.7,15.2,5.4,6.4,44.4,44.4,2.67,61.3,0.89,44.4,1.11,-0.2,-1158,4.11,0.67,48.1,33.3,2197,2.9,0.84,1.32
G2 Esports,S13,EU,9,0.333,0.54,1722,-226,1.440972222,10.2,18.8,4.3,8.3,55.6,33.3,1.78,32,1,50,0.33,-0.1,-536,5.22,0.33,11.1,31.8,2225,3.6,1.08,1.61
GAM Esports,S13,VN,7,0.286,0.6,1725,-223,1.114583333,8.3,13.7,3.6,7.3,57.1,42.9,1.14,30.5,1,50,0.43,0.1,-993,4.43,0.57,42.9,33.2,1709,3.8,1.56,1.62
Gen.G eSports,S13,KR,9,0.667,1.47,1895,117,1.338888889,13.9,9.4,7,5.2,22.2,44.4,2.33,52.5,0.89,44.4,0.67,-0.3,-363,3.56,1,61.1,34.8,2147,3.5,1.15,1.74
JD Gaming,S13,CN,13,0.615,1.1,1854,75,1.204861111,12.2,11.1,6.2,4.6,38.5,46.2,2.15,53.1,0.92,46.2,0.85,-0.2,-16,3.92,0.77,68.2,34.3,2100,3.5,1.21,1.71
KT Rolster,S13,KR,12,0.5,1.04,1810,15,1.397916667,12.2,11.8,5.8,5.5,50,75,2,43.3,1.17,58.3,0.58,0.2,1057,3.92,0.83,51.5,34.2,2017,3.3,1.4,1.72
LNG Esports,S13,CN,11,0.455,0.96,1774,-42,1.216666667,9.4,9.7,5.2,5.7,63.6,36.4,1.45,35.2,0.82,40.9,0.91,-0.1,-410,3.91,0.64,45,34.2,1793,3.4,1.21,1.61
MAD Lions,S13,EU,5,0.2,0.79,1757,-127,1.380555556,12.6,16,5,8,40,40,2.6,51.6,0.8,40,0.4,-0.2,-394,4.8,0.4,16.7,31.8,2017,3.3,1.32,1.56
NRG,S13,USA,8,0.5,1.19,1780,-6,1.359027778,14.3,12,5.6,5.6,50,25,2.38,50.3,1.13,56.3,1,-0.3,-496,3.5,0.88,56.3,30.8,2167,3.6,1.33,1.43
T1,S13,KR,15,0.867,2.08,1927,274,1.233333333,14,6.7,7.9,3.1,66.7,73.3,3.13,77.8,1.13,56.7,1.4,0.1,921,5,0.8,73.1,34.3,2171,3.9,1.29,1.63
Team BDS,S13,EU,4,0,0.41,1682,-341,1.124305556,6,14.5,2.8,9.5,50,25,1,27.9,0.5,25,0.75,-0.5,-2412,2.75,0.25,12.5,32.7,1322,3.7,1,1.38
Team Liquid,S13,USA,5,0.2,0.57,1717,-164,1.302777778,8.8,15.4,4.8,7.2,20,40,1.6,44,0.8,40,0.4,-0.2,-1193,3.6,0.4,20,33.2,1690,3.5,1.39,1.71
Weibo Gaming,S13,CN,19,0.579,1.06,1819,42,1.297222222,13.1,12.3,6.2,5.2,47.4,52.6,2.26,50.3,1.05,55.3,1.05,0.2,470,5.32,0.89,54.4,32,2270,3.3,1.32,1.57
