,is_converted
37178,False
6990,False
21789,False
2152,True
23825,False
27072,False
57792,False
37330,False
11751,False
18551,False
26487,True
38167,False
8383,False
38082,False
22162,False
24711,False
58712,False
36140,False
4245,False
19662,False
31561,False
31456,True
49626,False
28086,False
28492,False
25961,False
8914,False
45051,False
43388,False
21345,False
11761,False
40344,False
22281,False
8145,False
46837,False
16796,False
7836,False
10351,False
47503,False
26195,False
54388,False
13695,True
31762,True
57855,False
37783,False
19421,False
2463,True
5369,False
729,False
38205,False
29679,False
25981,False
30414,False
37343,False
55603,False
30972,False
10029,False
44929,False
38801,False
54725,True
6144,False
13058,False
46814,False
5223,False
13205,False
31741,True
26002,False
15578,False
47255,False
971,False
11591,False
40833,False
3073,False
48384,False
28417,False
9234,False
29710,False
25569,False
51492,False
31580,False
15486,False
28782,False
27635,False
38470,False
11081,False
42001,False
30347,False
8675,False
4828,False
54182,True
38189,False
34179,False
828,False
7070,False
3270,False
54944,False
29297,False
32545,False
17212,False
12376,False
31405,True
26117,False
109,False
19770,False
21430,False
24999,False
7417,False
26615,False
51223,False
45225,False
39658,False
15444,False
43588,False
13197,False
42275,False
31020,False
36669,False
35799,True
28139,False
7515,False
8755,False
43131,False
20192,False
10824,False
55219,False
29801,False
48910,False
53946,False
41538,False
52264,False
58875,False
1219,False
22933,False
16224,False
45728,False
35760,True
52001,False
49357,False
43033,False
21720,False
12553,False
21421,True
43146,False
55083,False
49144,False
4046,False
38144,False
53342,False
37667,False
57976,False
273,False
32451,False
7481,False
2826,False
24263,False
29216,False
48022,True
41780,False
17047,False
23160,False
54068,False
644,False
38634,False
38924,False
25141,False
40858,False
24895,False
49926,False
13342,False
56631,False
5324,False
42696,False
39258,False
42773,False
30360,False
47407,False
39079,False
32507,False
35168,False
40244,False
4679,False
39003,False
46405,False
10199,False
51278,False
20468,False
1221,False
3189,False
42152,False
18115,False
10434,False
13883,True
58970,False
11192,False
6556,False
47376,False
40272,False
31714,True
55803,False
42306,False
49411,False
17797,False
25268,False
54446,False
12909,False
59151,False
8454,False
57705,False
16158,False
30591,False
17638,False
47471,False
29366,False
57370,False
4464,False
42149,False
9093,False
16871,False
10406,False
20252,False
11262,False
15279,False
30967,False
53369,False
3601,False
38053,False
18250,False
57835,False
18600,False
31563,False
58106,False
53219,False
9293,False
16451,False
5946,False
18739,False
37769,False
18826,False
41197,False
44621,False
48013,True
23571,False
50166,False
47579,False
26805,False
43396,False
1246,True
19848,False
36915,False
49828,False
44791,False
33817,False
40840,False
44265,False
48937,False
11790,False
5394,False
8364,False
51540,False
29308,False
17479,False
13972,True
45818,False
18848,False
29116,False
26782,False
30159,False
25422,False
31747,True
4044,False
48943,False
40009,False
31953,True
39729,False
18266,False
18453,False
9606,False
564,False
9829,False
21835,False
23980,False
49622,False
29852,False
46019,False
17609,False
13653,True
45171,False
1641,False
27006,False
41020,False
30463,False
32982,False
6756,False
41841,False
19002,False
4614,False
44954,False
39998,False
55576,False
40041,False
47625,False
26369,False
42776,False
15541,False
7270,False
29246,False
14636,False
37831,False
54729,True
2503,True
42350,False
26559,False
22577,False
42638,False
53808,False
2298,True
21503,True
1498,False
14969,False
27852,False
35973,False
31299,True
37514,False
53047,False
51206,False
39525,False
11887,False
25770,False
44312,False
55522,False
16028,False
17050,False
23219,False
49585,False
35145,False
38271,False
31777,True
37671,False
52387,False
29449,False
12838,True
29027,False
49751,False
12203,False
59186,False
51957,False
23329,False
33773,False
42524,False
58947,False
24186,False
48465,False
54547,True
44442,False
31167,False
4128,False
30026,False
5012,False
20974,False
29036,False
29177,False
54610,False
45908,False
3861,False
26048,False
